Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa)
36,Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec.,CAST,2.9,546.0
36,Al1 Li1 Mg1 Sn1 Zn1,FCC+HCP+Sec.,CAST,3.9,600.0
39,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,7.7,1965.0
39,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,8.1,1965.0
39,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,1841.0
39,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,7.6,2035.0
39,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,7.1,2000.0
39,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,6.8,1280.0
40,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.5,1188.0
40,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.3,1302.0
40,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.1,1415.0
40,Al1 Hf1 Nb1 Ta1 Ti1 Zr1,BCC+Sec.,CAST,8.9,1489.0
40,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1073.0
41,Al0.25 Mo1 Nb1 Ti1 V1,BCC,CAST,7.1,1250.0
41,Al0.5 Mo1 Nb1 Ti1 V1,BCC,CAST,6.8,1625.0
41,Al0.75 Mo1 Nb1 Ti1 V1,BCC,CAST,6.6,1260.0
41,Al1 Mo1 Nb1 Ti1 V1,BCC,CAST,6.4,1375.0
41,Mo1 Nb1 Ti1 V1,BCC,CAST,7.3,1200.0
42,Al0.25 Nb1 Ta1 Ti1 V1,BCC,CAST,8.8,1330.0
42,Al0.5 Nb1 Ta1 Ti1 V1,BCC,CAST,8.5,1014.0
42,Al1 Nb1 Ta1 Ti1 V1,BCC,CAST,7.9,993.0
42,Nb1 Ta1 Ti1 V1,BCC,CAST,9.2,1092.0
43,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,1020.0
44,Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,OTHER,8.0,1595.0
45,Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,OTHER,6.6,1298.0
45,Cr1 Nb1 Ti1 Zr1,BCC+Sec.,OTHER,6.6,1260.0
45,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,6.4,918.0
45,Nb1 Ti1 V1 Zr1,BCC,OTHER,6.5,1105.0
47,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC,CAST,7.9,1176.0
47,C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,7.8,1183.0
47,C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,7.7,1201.0
48,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1112.0
48,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1317.0
48,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1373.0
48,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1512.0
48,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1015.0
49,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,1512.0
49,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,1600.0
50,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,8.7,1575.0
50,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,1719.0
51,Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec.,CAST,7.8,1399.0
53,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,929.0
56,Mo1 Nb1 Ta1 V1,BCC,ANNEAL,10.7,1525.0
57,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,1246.0
57,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,1058.0
58,Mo0.3 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.7,1289.0
58,Mo0.5 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.8,1473.0
58,Mo0.7 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.9,1706.0
58,Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,BCC,ANNEAL,7.3,1496.0
58,Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,BCC,ANNEAL,7.4,1603.0
58,Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,BCC,ANNEAL,7.5,1645.0
58,Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,BCC,ANNEAL,7.6,1765.0
58,Mo1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,7.1,1779.0
58,Mo1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,7.2,1455.0
58,Mo0.1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.6,932.0
58,Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.8,1312.0
58,Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.9,1301.0
58,Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,7.1,1436.0
58,Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,BCC,ANNEAL,7.4,1603.0
58,Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,BCC,ANNEAL,7.5,1576.0
58,Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,6.5,866.0
58,Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.5,1104.0
59,Mo1 Nb1 Ti1 V0.25 Zr1,BCC,CAST,7.3,1776.0
59,Mo1 Nb1 Ti1 V0.5 Zr1,BCC,CAST,7.2,1647.0
59,Mo1 Nb1 Ti1 V0.75 Zr1,BCC,CAST,7.2,1708.0
59,Mo1 Nb1 Ti1 V1 Zr1,BCC,CAST,7.1,1786.0
59,Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,CAST,7.1,1735.0
59,Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,CAST,7.0,1538.0
59,Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,6.9,1418.0
59,Mo1 Nb1 Ti1 Zr1,BCC,CAST,7.3,1592.0
61,Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,FCC+BCC,CAST,7.2,1862.0
61,Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC,CAST,7.1,1465.0
61,Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec.,CAST,6.8,1461.0
61,Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,FCC+BCC+Sec.,CAST,7.3,1312.0
62,Cu1 Mn1 Ni1 Zn0.333,FCC,CAST,8.3,215.0
62,Cu1 Mn1 Ni1 Zn0.25,FCC,CAST,8.3,140.0
62,Al0.111 Cu1 Mn1 Ni1,FCC+Sec.,CAST,8.1,515.0
62,Cu1 Mn1 Ni1 Sn0.111,FCC+Sec.,CAST,8.3,630.0
62,Al0.053 Cu1 Mn1 Ni1,FCC,CAST,8.3,330.0
62,Cu1 Mn1 Ni1 Sn0.053,FCC+Sec.,CAST,8.4,380.0
64,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,7.6,388.0
64,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,6.3,1620.0
64,Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,7.1,948.0
68,Al1 Nb1 Ti1 V1,B2,ANNEAL,5.5,1000.0
68,Al1 Nb1 Ti1 V1 Zr1,B2+Laves+Sec.,ANNEAL,5.8,1500.0
68,Al1 Nb1 Ti1 V1 Zr0.1,B2+Sec.,ANNEAL,5.5,1290.0
68,Al1 Nb1 Ti1 V1 Zr0.25,B2+Sec.,ANNEAL,5.6,1360.0
68,Al1 Nb1 Ti1 V1 Zr0.5,B2+Laves+Sec.,ANNEAL,5.6,1485.0
68,Al0.667 Nb0.667 Ti0.667 V0.667 Zr1,B2+Laves+Sec.,ANNEAL,5.8,1535.0
70,Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,8.2,1457.0
70,Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,8.2,1420.0
70,Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,8.2,1328.0
70,Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,ANNEAL,8.2,1322.0
70,Cr1 Hf1 Nb1 Ti1 Zr1,BCC+Laves,CAST,8.2,1375.0
70,Hf1 Nb1 Ti1 V1 Zr1,BCC+Laves,ANNEAL,8.1,1157.0
70,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,1253.0
70,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,1140.0
70,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,8.1,1120.0
70,Hf1 Nb1 Ti1 V1 Zr1,BCC+Laves,CAST,8.1,1170.0
71,Cr1 Ta1 Ti0.17 V1 W1,BCC+Laves,POWDER,12.6,2034.0
71,Cr1 Ta1 Ti0.3 V1 W1,BCC+Laves,POWDER,12.3,2050.0
71,Cr1 Ta1 V1 W1,BCC+Laves,POWDER,13.0,2327.0
72,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,10.4,845.0
73,Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,BCC+Sec.,CAST,7.7,1350.0
73,Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,BCC+Sec.,CAST,7.5,1370.0
73,Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,BCC+Sec.,CAST,7.2,1600.0
73,Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,BCC+Sec.,CAST,7.0,1550.0
73,Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,BCC+Sec.,CAST,6.8,1650.0
73,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,CAST,7.9,1150.0
74,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,1150.0
